Uzytkownik: 0
Nazwa filmu: GDW
Termin seansu: 19/1/2022, 22:15
Numer miejsca: 55
Lista dodatkow: 
Dodatek: Dodatek 1.
Cena: +20PLN przed uwzglednieniem promocji procentowej, 
Lista znizek: 
Znizka: Znizka 2.
Dozwolony wiek kupujacego: 30-40
Promocja: -5% promocji procentowej, -5PLN po uwzglednieniu promocji procentowej.
Cena koncowa: 42.5PLN
Numer transakcji: 1000014

Uzytkownik: 0
Nazwa filmu: GDW
Termin seansu: 19/1/2022, 22:15
Numer miejsca: 33
Lista dodatkow: brak
Lista znizek: brak
Cena koncowa: 30PLN
Numer transakcji: 1000012

Uzytkownik: 0
Nazwa filmu: GDW
Termin seansu: 19/1/2022, 22:15
Numer miejsca: 11
Lista dodatkow: brak
Lista znizek: brak
Cena koncowa: 30PLN
Numer transakcji: 1000010

